Lng,lat,Zona,Salida,Duracion,Categoria,Entrada
-58.489164669327906,-37.15427416645791,Centro,1588949778650,1369027,6,1588948409623
-58.489123637238805,-37.15429134374946,Centro,1588866458075,2898425,6,1588863559650
-58.48917011556097,-37.15427605912943,Centro,1588776471533,1112468,6,1588775359065
-58.48915614045797,-37.154275045089264,Centro,1588604769749,993200,6,1588603776549
-58.488223899016965,-37.14968584465196,Centro,1588863101100,1920800,6,1588861180300
-58.48824477445953,-37.149689514391355,Centro,1589560335202,1132203,6,1589559202999
-58.484331001193496,-37.15539827176514,Centro,1589565194547,472014,6,1589564722533
-58.48915007288457,-37.154172672259485,Centro,1589542261,311,6,1589541950
-58.488223436579204,-37.14968655798162,Centro,1589034903430,1209907,6,1589033693523
-58.489126370426355,-37.15425269907263,Centro,1589035527962,444049,6,1589035083913
-58.48664908847186,-37.15204886094986,Centro,1589568230936,1587978662987,6,1589567949
-58.486107494725886,-37.15275128567204,Centro,1589569700308,565970,6,1589569134338
-58.487598910400855,-37.152854251635844,Centro,1590323008329,1588732685837,6,1590322492
-58.48486462494672,-37.15396917720369,Centro,1590412939009,1588822534217,6,1590404792
-58.49280702399683,-37.15570943512634,Centro,1590333430016,1588743104816,6,1590325200
-58.48825367135233,-37.14968054959831,Centro,1590504685,1305,6,1590503380
-58.484806753923564,-37.15398278830561,Centro,1590507319329,1588916812909,6,1590506420
-58.48569818908831,-37.1541024347745,Centro,1589571926498,1587982354723,6,1589571775
-58.48753037440686,-37.15290932460559,Centro,1589628863530,123033,6,1589628740497
-58.48653863819148,-37.15213137297872,Centro,1589633213,141,6,1589633072
-58.48841563422023,-37.15363529212242,Centro,1589637537880,1588047900600,6,1589637280
-58.48824672210777,-37.14969030483781,Centro,1589642151118,1779662,6,1589640371456
-58.48539047130934,-37.15286107309703,Centro,1589637434923,1588047798758,6,1589636165
-58.48593202081963,-37.15336236043945,Centro,1589636098,248,6,1589635850
-58.48735321544968,-37.15281686917598,Centro,1589651082510,228283,6,1589650854227
-58.48845511246061,-37.1538351353786,Centro,1589748663248,371298,6,1589748291950
-58.488453345547796,-37.15383344854325,Centro,1589753068914,276953,6,1589752791961
-58.48845247484434,-37.153828311642826,Centro,1589747589731,192084,6,1589747397647
-58.48749325193214,-37.15290894389095,Centro,1589801259216,233678,6,1589801025538
-58.48440324324621,-37.15368381565511,Centro,1590410213173,1588819803435,6,1590409738
-58.488225599151754,-37.14969828875413,Centro,1590504593570,1588914089545,6,1590504025
-58.48476345114706,-37.15416383718255,Centro,1589811295365,154395,6,1589811140970
-58.48927941434993,-37.15413233243428,Centro,1589813292803,1588223479852,6,1589812951
-58.48751773060109,-37.15291811019232,Centro,1589829958288,2425846,6,1589827532442
-58.48571761036757,-37.15310134421739,Centro,1589824640665,1588234816645,6,1589824020
-58.48456711570718,-37.15356911071078,Centro,1589825188689,1588235363981,6,1589824708
-58.48755943740894,-37.15286462857653,Centro,1589832043751,311070,6,1589831732681
-58.4875880106141,-37.1529251023949,Centro,1589827271912,168441,6,1589827103471
-58.4874685192432,-37.152887665076626,Centro,1589831132283,562838,6,1589830569445
-58.487614178854,-37.152901200264765,Centro,1589887161964,143339,6,1589887018625
-58.48912503094216,-37.15425930578823,Centro,1589901278930,164843,6,1589901114087
-58.488249743056365,-37.14974069373001,Centro,1589901813448,273709,6,1589901539739
-58.48903520361745,-37.15425170516819,Centro,1589892861214,203038,6,1589892658176
-58.48789722236114,-37.153277443892634,Centro,1589902295719,353041,6,1589901942678
-58.48749815787868,-37.15292109564359,Centro,1589916145315,331408,6,1589915813907
-58.48671887243354,-37.15398718754554,Centro,1589912237443,233093,6,1589912004350
-58.48752349882345,-37.152919422009965,Centro,1589916499620,1588326583327,6,1589916293
-58.48758047622787,-37.152909901784916,Centro,1589918570035,293377,6,1589918276658
-58.488658529006884,-37.15398857787025,Centro,1590261395787,417853,6,1590260977934
-58.48752826236184,-37.15285695915709,Centro,1590409646232,1588819237119,6,1590409113
-58.48926913730231,-37.154175425931115,Centro,1590410078514,1588819668599,6,1590409915
-58.487707998599774,-37.152833764240725,Centro,1589973601244,1588383627750,6,1589973494
-58.484567100265764,-37.15359526983259,Centro,1589983201391,244593,6,1589982956798
-58.4882539188606,-37.14969091916528,Centro,1589994682098,491665,6,1589994190433
-58.4874599537037,-37.15267978240741,Centro,1592001,180,6,1591821
-58.48742012629088,-37.15282455056418,Centro,1593585845,1591992806,6,1593039
-58.484107281850186,-37.15548648842222,Centro,1590090370944,56561856,6,1590033809088
-58.48717691867125,-37.15299760595647,Centro,1590255969,291,6,1590255678
-58.48484750677441,-37.15393446564631,Centro,1590063631645,4442137,6,1590059189508
-58.48651821957131,-37.1523301171218,Centro,1590333863226,293726,6,1590333569500
-58.48752293248687,-37.152877880134874,Centro,1590060872780,435950,6,1590060436830
-58.489253170078,-37.15424307415002,Centro,1590061439671,165385,6,1590061274286
-58.487832259580784,-37.153290981545965,Centro,1590061738693,145437,6,1590061593256
-58.487465795616785,-37.15291652111463,Centro,1590063713530,416190,6,1590063297340
-58.48930192955062,-37.15422783217973,Centro,1590064023099,184321,6,1590063838778
-58.48688786973697,-37.15239574054717,Centro,1590077329139,8262165,6,1590069066974
-58.486587914910714,-37.15020071851423,Centro,1590067107025,1891794,6,1590065215231
-58.48919003018688,-37.15427441602522,Centro,1590070862769,2643483,6,1590068219286
-58.48844609639896,-37.149826333151275,Centro,1590095679184,23854289,6,1590071824895
-58.48484421341876,-37.15393696623802,Centro,1590496869425,5789258,6,1590491080167
-58.483979726472114,-37.15534343323323,Centro,1590341174295,477000,6,1590340697295
-58.4882467297094,-37.149696697297145,Centro,1590072273,200,6,1590072073
-58.489412414550415,-37.15172035499423,Centro,1590073260268,1588483187604,6,1590072664
-58.484616364664085,-37.15373545542636,Centro,1590073150,516,6,1590072634
-58.489211487057595,-37.15426753760835,Centro,1590073728413,386022,6,1590073342391
